document_id,field,previous_candidate,verification_value,verification_evidence,verification_confidence,verification_status,verification_reason,model,prompt_version,source_sha256
DOC000002,title,CHAPTER 14 OPERATIONS AND MAINTENANCE OF THE PROJECT,,CHAPTER 14 OPERATIONS AND MAINTENANCE OF THE PROJECT,high,still_human_review,P0_true_conflict_human_decision_required,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,a9dc4c909c9d5972c9b348bc14fa59991b7d0d4e8eb79cd73b9d771cb26ef49b
DOC000003,title,Making Transportation Tunnels Safe and Secure,,Making Transportation Tunnels Safe and Secure (2006),high,still_human_review,P0_true_conflict_human_decision_required,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,e4e696e67dc8f1675451c38298acc0ee645ade4b74d8dea722d77cd210551d15
DOC000007,title,Volume II: Basics and Additional Services for Design and Construction,,Volume II: Basics and Additional Services for Design and Construction,high,still_human_review,P0_true_conflict_human_decision_required,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,f7364cfe35d103c795f3d2e5f31ce0dba9e072a5a7e070766682abe73f365b83
DOC000266,authority_level,A,,**RESMİ GAZETE SAYISI: 27159/m.,high,still_human_review,P0_true_conflict_human_decision_required,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,80d2d2c44b4c7dffc21f3228442bf14fd38b9686ad84309a669de4b5c8756f26
DOC000001,year,2017,,Accepted 22 February 2017 Ó 2017 Elsevier Ltd. All rights reserved.,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,1980884f21bd5c134c8e603a62bc715204b58c5d43382eb7b89a5779e380e1c7
DOC000001,document_type,academic_article,,Tunnelling and Underground Space Technology journal homepage: www.elsevier.com/locate/tust,high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,1980884f21bd5c134c8e603a62bc715204b58c5d43382eb7b89a5779e380e1c7
DOC000002,organization,JICA Survey Team,,insufficient,low,unresolved_nonblocking,no_strong_field_specific_evidence,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,a9dc4c909c9d5972c9b348bc14fa59991b7d0d4e8eb79cd73b9d771cb26ef49b
DOC000003,year,2006,,Making Transportation Tunnels Safe and Secure (2006),high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,e4e696e67dc8f1675451c38298acc0ee645ade4b74d8dea722d77cd210551d15
DOC000004,organization,PIARC,,insufficient,low,unresolved_nonblocking,no_strong_field_specific_evidence,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,77cf2eb068cd0f71b6f6069617f35886b8f6fb4f66e7f4d78aae7b8de6935a72
DOC000004,document_type,technical_report,,"For this report, the working group has defined maintenance to include the following:",high,still_human_review,strong_evidence_or_identity_threshold_not_met,qwen3.6-35b-a3b-mlx,metadata-verification-v1.2,77cf2eb068cd0f71b6f6069617f35886b8f6fb4f66e7f4d78aae7b8de6935a72
