document_id,source_relative_path,source_final_markdown,normalized_markdown,source_sha256,normalized_sha256,changed,normalization_status,rule_unicode_normalization_count,rule_whitespace_count,rule_ocr_spacing_count,rule_linebreak_count,rule_hyphenation_count,rule_header_footer_count,rule_replacement_character_count,rule_encoding_cleanup_count,rule_placeholder_count,manual_review_required,review_reason,normalizer_version,processed_at
DOC000001,Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/1-s2.0-S0886779816307866-main.md,82d7966e3c65f8118d8734b7ff0a079179f8e8112a27004ad2347012237a609b,82d7966e3c65f8118d8734b7ff0a079179f8e8112a27004ad2347012237a609b,false,unchanged,0,0,0,0,0,0,0,0,14,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000002,Leyla Literatür/TunelMaliyet/12229738_04.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/12229738_04.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/12229738_04.md,82a1c65440a547155d64971612d24c3c24bea5f2e65edf6e14652e4814b64c76,0cf0e737377f48264fd0a30b069e996529dd38665d51905ef196782e5ce4590b,true,normalized,0,322,0,0,0,0,0,0,43,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000003,Leyla Literatür/TunelMaliyet/13965.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/13965.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/13965.md,96956203b5c40a2187a4125b88186b3eb250b04fa04222311769639782d692c1,898eccc0235789c983eedb845afd9f00fb1010d6e99a82ff4c3190b1c48cf378,true,normalized_with_warning,0,594,0,0,0,0,0,0,49,true,repeated_header_footer_candidate_not_removed:(continued on next page),text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000004,Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/1999 05.06.B Chap 7 EN.md,00e5c139b54345f04337f6a0d4d1983c0db4cd71b39cc66513bb3867b6ea3f70,e87f565e311f7a1b48f4abfe5b95916475461022b3821981db4c7a765bfaab93,true,normalized,0,71,0,0,0,0,0,0,1,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000005,Leyla Literatür/TunelMaliyet/3433030499-627.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/3433030499-627.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/3433030499-627.md,8f6a9117e89b0230e65f39032243c8faede62f69bec4a86bf3826b13e178daf7,30830a127192f5ef6298e04f8f085ed0c5d6b16ae5a9b14f459d3ebab0500481,true,normalized,0,18,0,0,0,0,0,0,14,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000006,Leyla Literatür/TunelMaliyet/3433030499-628.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/3433030499-628.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/3433030499-628.md,6fde4c1334506d17ac7a61f84e0110f3fead7eeeea1b7de9a7e3091e0ec5b415,6fde4c1334506d17ac7a61f84e0110f3fead7eeeea1b7de9a7e3091e0ec5b415,false,unchanged,0,0,0,0,0,0,0,0,0,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000007,Leyla Literatür/TunelMaliyet/3433030499-629.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/3433030499-629.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/3433030499-629.md,dc0416ea4c7e5f2772763eec5a1e15474eda6298fa64e77c5cb38b4108360aed,dc0416ea4c7e5f2772763eec5a1e15474eda6298fa64e77c5cb38b4108360aed,false,unchanged,0,0,0,0,0,0,0,0,0,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000009,Leyla Literatür/TunelMaliyet/AppendixF.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/AppendixF.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/AppendixF.md,0f61130aba8c297bd810e46bbe093bc8dbfc219d2e151924eec49ca4065c9680,e0e4cd5a1cf90f9dab55cf74f1d8a4ef316f43b1155123966b65887ca7735095,true,normalized,0,16,0,0,0,0,0,0,0,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000010,Leyla Literatür/TunelMaliyet/Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/Complete List of Different Methods of Tunnel Construction _ Principal Tunneling Types _ CivilDigital _.md,377cb1500ad059feafe8734c436a6a0c17b003b34159a95e54ac6d59f4d3ac30,aa7da8bdcd4604dd81220c6c10ab2ca4a4f96a8a748b6b49f9ab56f28578919e,true,normalized,0,1,0,0,0,0,0,0,14,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000011,Leyla Literatür/TunelMaliyet/ConstructionCost-annex_13_case_study_tunneling.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/ConstructionCost-annex_13_case_study_tunneling.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/ConstructionCost-annex_13_case_study_tunneling.md,376643cb4feb81eefd83dab02301529d0bbd07fdd9a2e61349e87e6616e082ed,76ccc29cd4211439cee953a6e00b80ea50611bbb60bbfcf5192004e981b3e7df,true,normalized,0,124,0,0,0,0,0,0,15,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000012,Leyla Literatür/TunelMaliyet/COSTS OF CONSTRUCTION_Tunnel.docx,data/corpus_final/Leyla Literatür/TunelMaliyet/COSTS OF CONSTRUCTION_Tunnel.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/COSTS OF CONSTRUCTION_Tunnel.md,2e139ccada32e0232a95ed30e318c8cec62051250962d9e22ce1c5d12d8ca755,2e139ccada32e0232a95ed30e318c8cec62051250962d9e22ce1c5d12d8ca755,false,unchanged,0,0,0,0,0,0,0,0,0,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000013,Leyla Literatür/TunelMaliyet/Estimation_of_Annual_Routine_Maintenance_Cost_for_.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/Estimation_of_Annual_Routine_Maintenance_Cost_for_.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/Estimation_of_Annual_Routine_Maintenance_Cost_for_.md,ceb6160a584ea180d32df2f2ba131832ba618a88179179bcd012307178116f2c,a73af3d7edda943814a29e449d94c96503591d9d9c14db778d80f7a734b2d4ca,true,normalized_with_warning,0,0,0,0,0,0,4,0,24,true,replacement_character_marked_unresolved,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000014,Leyla Literatür/TunelMaliyet/GeoMon2013Paper644_revised_final_cost.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/GeoMon2013Paper644_revised_final_cost.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/GeoMon2013Paper644_revised_final_cost.md,8a31c8a50c4ba10ff46206f8bbf31fab20ffa5cb72c6c55ad865236ad464cded,10ca03dea72453361686a769408210182ad53a9dfabfe4b5dd5e598a52f5316e,true,normalized,0,59,0,0,0,0,0,0,9,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000015,Leyla Literatür/TunelMaliyet/hif15005.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/hif15005.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/hif15005.md,42e16d481c0362358fdab05ba3d418c00ed97ac7812e7e9d097e39dab0c8fe35,7cce6b2e8d9ce7bc68f6be5ba918d5c0fc691bd435f0815051bdceaf61b5f772,true,normalized,0,164,0,0,0,0,0,0,186,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000016,Leyla Literatür/TunelMaliyet/HS2_Guide_to_Tunnelling_Costs.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/HS2_Guide_to_Tunnelling_Costs.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/HS2_Guide_to_Tunnelling_Costs.md,33fac52e641608605e37a36e927963697fd87f429333f7c2f713516d02823aa6,79618ec4731594b90900ec524549b6931f2cde11f12f59dcdca8f8eadd5dd4bc,true,normalized,0,10,0,0,0,0,0,0,2,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000017,Leyla Literatür/TunelMaliyet/IRJET-V8I7794.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/IRJET-V8I7794.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/IRJET-V8I7794.md,1ad241f3820a552cd2c52dbd81ff689d1a4dff18bbc4bc9c57c1a019c59d2b52,74028149032f4ddb91abefdcf76b898490fa086f3ff59d190327f426f26947ef,true,normalized,0,27,0,0,0,0,0,0,8,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000018,Leyla Literatür/TunelMaliyet/low-cost-tunnels-rural-roads-asia-pacific.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/low-cost-tunnels-rural-roads-asia-pacific.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/low-cost-tunnels-rural-roads-asia-pacific.md,dcb188de5abefc170b1eb0d7084bdf771e04162c1b25a91e1cc7b0451a289dd9,9cdf06e3087c372302352303aa054215a007e294d9a94164e84181e8e44ce6d8,true,normalized,0,40,0,0,0,0,0,0,10,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000019,Leyla Literatür/TunelMaliyet/operating-costs-and-revenues-report.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/operating-costs-and-revenues-report.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/operating-costs-and-revenues-report.md,34098879548eeb9f0c37d1a0a11d1bf92c24026db791f939606b81a879bb1ee2,a6eddd2fa784e331f74301f452c719b6606a0189c05460b4275e752f71404f43,true,normalized,0,18,0,0,0,0,0,0,5,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000020,Leyla Literatür/TunelMaliyet/THICKI01_TALK.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/THICKI01_TALK.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/THICKI01_TALK.md,89220272730a2874134d5872a4dd8d6e2e368a6627a763775044c67bf8bcab3a,89220272730a2874134d5872a4dd8d6e2e368a6627a763775044c67bf8bcab3a,false,unchanged,0,0,0,0,0,0,0,0,36,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000021,Leyla Literatür/TunelMaliyet/Tunnel - Wikipedia.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/Tunnel - Wikipedia.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/Tunnel - Wikipedia.md,9af0e488a87a1892f756b9284e267ed2099d1fe5acfd85801597dde601af85d3,b9b9c8ad0d2cfad27db140c6e374ce662fc9f6bd4c5055341d7cbb69faf41596,true,normalized,0,48,0,0,0,0,0,0,32,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000022,Leyla Literatür/TunelMaliyet/Tunnel_ 3 Types and Classification of Tunnel and Purposes.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/Tunnel_ 3 Types and Classification of Tunnel and Purposes.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/Tunnel_ 3 Types and Classification of Tunnel and Purposes.md,d689b848f2921ffd04e825cce3c95e20b5c0bb5c79fc3956f5a7aadbcb2eefac,d689b848f2921ffd04e825cce3c95e20b5c0bb5c79fc3956f5a7aadbcb2eefac,false,unchanged,0,0,0,0,0,0,0,0,2,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000023,Leyla Literatür/TunelMaliyet/Tunnels-PIARC.docx,data/corpus_final/Leyla Literatür/TunelMaliyet/Tunnels-PIARC.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/Tunnels-PIARC.md,a7f20f4cf549a644e2a9f45232a7137158428edb3e6dc8f068b90ba043fc79db,a7f20f4cf549a644e2a9f45232a7137158428edb3e6dc8f068b90ba043fc79db,false,unchanged,0,0,0,0,0,0,0,0,0,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000024,Leyla Literatür/TunelMaliyet/TUNNELS-TYPESANDIMPORTANCE.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/TUNNELS-TYPESANDIMPORTANCE.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/TUNNELS-TYPESANDIMPORTANCE.md,ac6e2dc059feb15525e20de85c1572335510ce2b88796017a5c6c34c80045aeb,4480f6a9622f97b79d53a9580cd1d47acfb86d34e5f2e7f43434f4810f32236c,true,normalized,0,41,0,0,0,0,0,0,12,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000025,Leyla Literatür/TunelMaliyet/What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.pdf,data/corpus_final/Leyla Literatür/TunelMaliyet/What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.md,data/corpus_normalized/Leyla Literatür/TunelMaliyet/What Is Tunel _ Types of Tunnels _ What Are Tunnels Used for _ Classification of Tunnel _ How Are Tunnels Built _Advantages of Tunnels _ Disadvantages of Tunnels.md,b999133e133fa87baafbc1782769b7499bc455f86081f33f38308f64c8446851,b999133e133fa87baafbc1782769b7499bc455f86081f33f38308f64c8446851,false,unchanged,0,0,0,0,0,0,0,0,4,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000036,Literatür ve Araştırmalar/20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği.pdf,data/corpus_final/Literatür ve Araştırmalar/20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği.md,data/corpus_normalized/Literatür ve Araştırmalar/20150804 RESMİ GAZETE Tünel İşletme Yönetmeliği.md,482caaa91ee058d83f22b30bfb98b4aa62871e05ef55ba8d66149834010160c4,9334c0a4d9d52e4eb420227ca6ffa430778b71deea9d504cbefa91dd303ed457,true,normalized,0,330,0,0,0,0,0,0,22,false,,text-normalizer-v1.1,2026-08-16T00:34:48+00:00
DOC000037,Literatür ve Araştırmalar/3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013.pdf,data/corpus_final/Literatür ve Araştırmalar/3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013.md,data/corpus_normalized/Literatür ve Araştırmalar/3. Uluslararası Ulaşımda Yeraltı Kazıları Sempozyumu Bildiriler Kitabı_2013.md,d71c1ac964b79f5d511323ac11802982486881a2842fabbbb314b0ba3da76392,c661f0e1c31222de880b50914ba9d7aed44078eafc53254a3591a64be5c114fb,true,normalized,0,29,0,0,0,0,0,0,275,false,,text-normalizer-v1.1,2026-08-16T00:34:49+00:00
DOC000038,Literatür ve Araştırmalar/An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.pdf,data/corpus_final/Literatür ve Araştırmalar/An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.md,data/corpus_normalized/Literatür ve Araştırmalar/An Ex-Post Cost - Benefit Analysis of Bolu Mountain__Tunnel Project.md,1ec7f89d408eefd1426d55425a491bdb0c6d37d65bc48bdaf504a55dddfa8962,07734df2c89b88b39b40e4a07c446e3bd71ff038568ccc8e19fcd0f8676f6cc3,true,normalized,0,49,0,0,0,0,0,0,3,false,,text-normalizer-v1.1,2026-08-16T00:34:49+00:00
DOC000039,Literatür ve Araştırmalar/Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.pdf,data/corpus_final/Literatür ve Araştırmalar/Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.md,data/corpus_normalized/Literatür ve Araştırmalar/Benchmarking_tunnelling_costs_and_production_rates_in_the_UK_Web_Accessible.md,abdcb0cb1abaa3ec29bc959a1f1c856497103cad364197e13e304082c6e64724,c489272d707965fd138c52320c38d31b473ca4e9c6a0375d3f2a5596f3970ade,true,normalized,0,8,0,0,0,0,0,0,7,false,,text-normalizer-v1.1,2026-08-16T00:34:49+00:00
DOC000041,Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.pdf,data/corpus_final/Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.md,data/corpus_normalized/Literatür ve Araştırmalar/Estimate of annual operating costs Highway Tunnel.md,1e4cc0a7a375c233375d1f49555a6dcd16f399b24f5c4373686fe2f922d49e99,1e4cc0a7a375c233375d1f49555a6dcd16f399b24f5c4373686fe2f922d49e99,false,unchanged,0,0,0,0,0,0,0,0,0,false,,text-normalizer-v1.1,2026-08-16T00:34:49+00:00
DOC000042,Literatür ve Araştırmalar/Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları.pdf,data/corpus_final/Literatür ve Araştırmalar/Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları.md,data/corpus_normalized/Literatür ve Araştırmalar/Farklı Karayolu Tünellerinin Tünel Özellikleri ve Sürücü Davranışları.md,17b22760132a45651e6fd53b59dab37e3f63d5b5bf2e2eb1ee200a2130d20da9,41c0c42883cd9d723d8e4bc6122295e373041d2cfbed4844fd1ab7ef17855e5a,true,normalized,0,53,0,0,0,0,0,0,26,false,,text-normalizer-v1.1,2026-08-16T00:34:49+00:00
DOC000044,"Literatür ve Araştırmalar/Management of road tunnels_Construction, maintenance.pdf","data/corpus_final/Literatür ve Araştırmalar/Management of road tunnels_Construction, maintenance.md","data/corpus_normalized/Literatür ve Araştırmalar/Management of road tunnels_Construction, maintenance.md",2663081fc89e3678c6408ddfd395a388063156204d829676dd3006d44fcabea9,2663081fc89e3678c6408ddfd395a388063156204d829676dd3006d44fcabea9,false,unchanged,0,0,0,0,0,0,0,0,3,false,,text-normalizer-v1.1,2026-08-16T00:34:49+00:00
DOC000045,Literatür ve Araştırmalar/TR Karayolları Tünellerinin Tarihçesi ve Tünel Güvenlik Kriterleri.pdf,data/corpus_final/Literatür ve Araştırmalar/TR Karayolları Tünellerinin Tarihçesi ve Tünel Güvenlik Kriterleri.md,data/corpus_normalized/Literatür ve Araştırmalar/TR Karayolları Tünellerinin Tarihçesi ve Tünel Güvenlik Kriterleri.md,87f6258227fbd919bbfced0ffb1610bd2a21236233809b66b3fda4d57021fd54,792f0598672673688dde962542cde7dbd28bb903748fa9d6a82f7432dbf30eb1,true,normalized,0,31,0,0,0,0,0,0,3,false,,text-normalizer-v1.1,2026-08-16T00:34:49+00:00
DOC000047,Literatür ve Araştırmalar/tunnel_manual_FHWA.pdf,data/corpus_final/Literatür ve Araştırmalar/tunnel_manual_FHWA.md,data/corpus_normalized/Literatür ve Araştırmalar/tunnel_manual_FHWA.md,b9a27c8e779be37ac271dd9db8413e6228acc671f6387926839ba52ddbb67579,2d7d31480abcc27e879d5eba91fba99635938ea4f6a51420dc8bf4a3a0895670,true,normalized_with_warning,0,2260,0,0,0,0,0,0,565,true,repeated_header_footer_candidate_not_removed:This page is intentionally left blank.,text-normalizer-v1.1,2026-08-16T00:34:50+00:00
DOC000048,Literatür ve Araştırmalar/TÜNEL BAKIM İŞLETME EL KİTABI.pdf,data/corpus_final/Literatür ve Araştırmalar/TÜNEL BAKIM İŞLETME EL KİTABI.md,data/corpus_normalized/Literatür ve Araştırmalar/TÜNEL BAKIM İŞLETME EL KİTABI.md,810e25bd5f2865dce20f099852a5026d0d148137ba11ecba2a07583083fd2e4a,ead9209ce45784aeae1bf18313df3c1114584adca719425cfb0bceae13ee50ac,true,normalized,0,580,0,0,0,0,0,0,43,false,,text-normalizer-v1.1,2026-08-16T00:34:49+00:00
