question_id,section_id,section_title,question_number,question,active,source_document,source_sha256
1.1-Q01,1.1,Tünelin Tanımı,1,"Tünel mühendislik açısından nasıl tanımlanır; kazı, boşluk ve destekleme kavramları tanımda nasıl yer alır?",True,question_bank_v2_draft.md,836a47141e0cd1852b4ae46b0186b98e632957254608b3a4e32faf110dc5c8b9
1.1-Q02,1.1,Tünelin Tanımı,2,"Tünel ile aç-kapa yapı, galeri, kuyu, yeraltı boşluğu ve derin yarma arasındaki ayrım nedir?",True,question_bank_v2_draft.md,836a47141e0cd1852b4ae46b0186b98e632957254608b3a4e32faf110dc5c8b9
1.1-Q03,1.1,Tünelin Tanımı,3,"Tünelin taşıyıcı sistemi olarak ""kaya/zemin–destek etkileşimi"" ne anlama gelir?",True,question_bank_v2_draft.md,836a47141e0cd1852b4ae46b0186b98e632957254608b3a4e32faf110dc5c8b9
1.1-Q04,1.1,Tünelin Tanımı,4,"Farklı disiplinler (jeoloji, geoteknik, yapı, ulaşım) tüneli hangi bakış açılarıyla tanımlar?",True,question_bank_v2_draft.md,836a47141e0cd1852b4ae46b0186b98e632957254608b3a4e32faf110dc5c8b9
1.1-Q05,1.1,Tünelin Tanımı,5,"Ulusal mevzuat ve şartnamelerde (KGM Teknik Şartnamesi, Tünel İşletme Yönetmeliği) tünel nasıl tanımlanmıştır?",True,question_bank_v2_draft.md,836a47141e0cd1852b4ae46b0186b98e632957254608b3a4e32faf110dc5c8b9
1.1-Q06,1.1,Tünelin Tanımı,6,"Uluslararası kaynaklarda (PIARC, ITA, AB 2004/54/EC direktifi) tünel tanımı ve asgari uzunluk eşikleri nelerdir?",True,question_bank_v2_draft.md,836a47141e0cd1852b4ae46b0186b98e632957254608b3a4e32faf110dc5c8b9
1.1-Q07,1.1,Tünelin Tanımı,7,"Karayolu, demiryolu, metro, su/hidrolik ve altyapı tünelleri arasındaki temel işlev farkları nelerdir?",True,question_bank_v2_draft.md,836a47141e0cd1852b4ae46b0186b98e632957254608b3a4e32faf110dc5c8b9
1.1-Q08,1.1,Tünelin Tanımı,8,"Bir tünelin temel geometrik büyüklükleri (uzunluk, kesit alanı, açıklık, örtü kalınlığı, eğim) nasıl tanımlanır?",True,question_bank_v2_draft.md,836a47141e0cd1852b4ae46b0186b98e632957254608b3a4e32faf110dc5c8b9
1.1-Q09,1.1,Tünelin Tanımı,9,"Tünel kesitinin ana bölümleri (kalot, stros, taban kemeri, kemer, ayak, portal) nelerdir?",True,question_bank_v2_draft.md,836a47141e0cd1852b4ae46b0186b98e632957254608b3a4e32faf110dc5c8b9
1.1-Q10,1.1,Tünelin Tanımı,10,"Tünel neden yapılır; hangi topoğrafik, çevresel, trafik ve ekonomik koşullar tünel çözümünü gerekli kılar?",True,question_bank_v2_draft.md,836a47141e0cd1852b4ae46b0186b98e632957254608b3a4e32faf110dc5c8b9
