chunk_id,document_id,lexical_token_count,bge_m3_token_count,difference,ratio,over_1200,over_1500,over_model_limit,contains_table,contains_formula_placeholder,contains_image_placeholder,provenance_status
DOC000306-C0001,DOC000306,802,1013,211,1.2631,0,0,0,0,0,0,source_only
DOC000001-C0001,DOC000001,395,511,116,1.2937,0,0,0,0,0,1,page_resolved
DOC000001-C0002,DOC000001,1139,1378,239,1.2098,1,0,0,0,0,1,page_resolved
DOC000001-C0003,DOC000001,371,437,66,1.1779,0,0,0,0,0,1,page_resolved
DOC000001-C0004,DOC000001,1102,1107,5,1.0045,0,0,0,1,0,0,page_resolved
DOC000001-C0005,DOC000001,540,584,44,1.0815,0,0,0,1,0,0,page_resolved
DOC000001-C0006,DOC000001,786,818,32,1.0407,0,0,0,1,0,0,page_resolved
DOC000001-C0007,DOC000001,917,952,35,1.0382,0,0,0,1,0,1,page_resolved
DOC000001-C0008,DOC000001,1165,1125,-40,0.9657,0,0,0,1,1,0,page_resolved
DOC000001-C0009,DOC000001,505,450,-55,0.8911,0,0,0,1,0,1,page_resolved
DOC000001-C0010,DOC000001,695,732,37,1.0532,0,0,0,1,0,0,page_resolved
DOC000001-C0011,DOC000001,1119,981,-138,0.8767,0,0,0,1,0,0,page_resolved
DOC000001-C0012,DOC000001,915,822,-93,0.8984,0,0,0,1,0,0,page_resolved
DOC000001-C0013,DOC000001,1140,1102,-38,0.9667,0,0,0,1,0,1,page_resolved
DOC000001-C0014,DOC000001,723,662,-61,0.9156,0,0,0,1,0,1,page_resolved
DOC000001-C0015,DOC000001,435,527,92,1.2115,0,0,0,0,0,0,page_resolved
DOC000001-C0016,DOC000001,1145,1474,329,1.2873,1,0,0,0,0,0,page_resolved
DOC000001-C0017,DOC000001,305,403,98,1.3213,0,0,0,0,0,0,page_resolved
DOC000002-C0001,DOC000002,175,221,46,1.2629,0,0,0,0,0,0,page_resolved
DOC000002-C0002,DOC000002,1151,783,-368,0.6803,0,0,0,1,0,0,page_resolved
DOC000002-C0003,DOC000002,970,766,-204,0.7897,0,0,0,1,0,0,page_resolved
DOC000002-C0004,DOC000002,631,764,133,1.2108,0,0,0,0,0,1,page_resolved
DOC000002-C0005,DOC000002,705,677,-28,0.9603,0,0,0,1,0,1,page_resolved
DOC000002-C0006,DOC000002,929,940,11,1.0118,0,0,0,1,0,1,page_resolved
DOC000002-C0007,DOC000002,213,229,16,1.0751,0,0,0,0,0,0,page_resolved
DOC000002-C0008,DOC000002,823,1001,178,1.2163,0,0,0,1,0,0,page_resolved
DOC000002-C0009,DOC000002,714,813,99,1.1387,0,0,0,1,0,0,page_resolved
DOC000002-C0010,DOC000002,691,841,150,1.2171,0,0,0,0,0,0,page_resolved
DOC000002-C0011,DOC000002,419,500,81,1.1933,0,0,0,0,0,0,page_resolved
DOC000002-C0012,DOC000002,915,1096,181,1.1978,0,0,0,0,0,1,page_resolved
DOC000002-C0013,DOC000002,943,1111,168,1.1782,0,0,0,0,0,0,page_resolved
DOC000002-C0014,DOC000002,935,764,-171,0.8171,0,0,0,1,0,0,page_resolved
DOC000002-C0015,DOC000002,433,527,94,1.2171,0,0,0,0,0,0,page_resolved
DOC000002-C0016,DOC000002,606,673,67,1.1106,0,0,0,0,0,0,page_resolved
DOC000002-C0017,DOC000002,879,1129,250,1.2844,0,0,0,1,0,1,page_resolved
DOC000002-C0018,DOC000002,1000,1258,258,1.2580,1,0,0,1,0,1,page_resolved
DOC000002-C0019,DOC000002,312,361,49,1.1571,0,0,0,0,0,0,page_resolved
DOC000002-C0020,DOC000002,769,672,-97,0.8739,0,0,0,1,0,0,page_resolved
DOC000002-C0021,DOC000002,1089,891,-198,0.8182,0,0,0,1,0,0,page_resolved
DOC000002-C0022,DOC000002,506,316,-190,0.6245,0,0,0,1,0,0,page_resolved
DOC000002-C0023,DOC000002,846,778,-68,0.9196,0,0,0,1,0,0,page_resolved
DOC000002-C0024,DOC000002,949,963,14,1.0148,0,0,0,1,0,1,page_resolved
DOC000002-C0025,DOC000002,971,724,-247,0.7456,0,0,0,1,0,0,page_resolved
DOC000002-C0026,DOC000002,990,1039,49,1.0495,0,0,0,1,0,0,page_resolved
DOC000002-C0027,DOC000002,973,1175,202,1.2076,0,0,0,0,0,0,page_resolved
DOC000002-C0028,DOC000002,860,1027,167,1.1942,0,0,0,0,0,0,page_resolved
DOC000002-C0029,DOC000002,601,680,79,1.1314,0,0,0,0,0,0,page_resolved
DOC000002-C0030,DOC000002,895,881,-14,0.9844,0,0,0,0,0,0,page_resolved
DOC000002-C0031,DOC000002,942,1098,156,1.1656,0,0,0,0,0,0,page_resolved
DOC000002-C0032,DOC000002,979,1112,133,1.1359,0,0,0,0,0,0,page_resolved
DOC000002-C0033,DOC000002,910,1081,171,1.1879,0,0,0,0,0,0,page_resolved
DOC000002-C0034,DOC000002,993,1084,91,1.0916,0,0,0,0,0,0,page_resolved
DOC000002-C0035,DOC000002,964,1117,153,1.1587,0,0,0,0,0,0,page_resolved
DOC000002-C0036,DOC000002,300,338,38,1.1267,0,0,0,0,0,0,page_resolved
DOC000002-C0037,DOC000002,832,917,85,1.1022,0,0,0,0,0,0,page_resolved
DOC000002-C0038,DOC000002,910,1006,96,1.1055,0,0,0,0,0,0,page_resolved
DOC000002-C0039,DOC000002,822,912,90,1.1095,0,0,0,0,0,0,page_resolved
DOC000002-C0040,DOC000002,938,1100,162,1.1727,0,0,0,0,0,0,page_resolved
DOC000002-C0041,DOC000002,988,1196,208,1.2105,0,0,0,0,0,0,page_resolved
DOC000002-C0042,DOC000002,152,184,32,1.2105,0,0,0,0,0,0,page_resolved
DOC000002-C0043,DOC000002,386,574,188,1.4870,0,0,0,0,0,0,page_resolved
DOC000002-C0044,DOC000002,944,449,-495,0.4756,0,0,0,1,0,1,page_resolved
DOC000002-C0045,DOC000002,570,161,-409,0.2825,0,0,0,1,0,0,page_resolved
DOC000002-C0046,DOC000002,181,219,38,1.2099,0,0,0,0,0,1,page_resolved
DOC000002-C0047,DOC000002,1108,583,-525,0.5262,0,0,0,1,0,0,page_resolved
DOC000002-C0048,DOC000002,494,453,-41,0.9170,0,0,0,1,0,0,page_resolved
DOC000002-C0049,DOC000002,850,608,-242,0.7153,0,0,0,1,0,0,page_resolved
DOC000002-C0050,DOC000002,969,778,-191,0.8029,0,0,0,1,0,0,page_resolved
DOC000002-C0051,DOC000002,431,330,-101,0.7657,0,0,0,1,0,0,page_resolved
DOC000002-C0052,DOC000002,734,808,74,1.1008,0,0,0,1,0,0,page_resolved
DOC000002-C0053,DOC000002,990,943,-47,0.9525,0,0,0,1,0,0,page_resolved
DOC000002-C0054,DOC000002,938,885,-53,0.9435,0,0,0,1,0,0,page_resolved
DOC000002-C0055,DOC000002,981,1067,86,1.0877,0,0,0,1,0,1,page_resolved
DOC000002-C0056,DOC000002,331,368,37,1.1118,0,0,0,0,0,1,page_resolved
DOC000002-C0057,DOC000002,1129,1105,-24,0.9787,0,0,0,1,0,0,page_resolved
DOC000002-C0058,DOC000002,168,192,24,1.1429,0,0,0,0,0,0,page_resolved
DOC000002-C0059,DOC000002,734,521,-213,0.7098,0,0,0,1,0,1,page_resolved
DOC000002-C0060,DOC000002,598,630,32,1.0535,0,0,0,1,0,0,page_resolved
DOC000002-C0061,DOC000002,972,1222,250,1.2572,1,0,0,0,0,0,page_resolved
DOC000002-C0062,DOC000002,843,984,141,1.1673,0,0,0,0,0,0,page_resolved
DOC000002-C0063,DOC000002,403,484,81,1.2010,0,0,0,0,0,0,page_resolved
DOC000002-C0064,DOC000002,889,1067,178,1.2002,0,0,0,1,0,1,page_resolved
DOC000002-C0065,DOC000002,1519,800,-719,0.5267,0,0,0,1,0,0,page_resolved
DOC000002-C0066,DOC000002,1628,1014,-614,0.6229,0,0,0,1,0,0,page_resolved
DOC000002-C0067,DOC000002,1616,1273,-343,0.7877,1,0,0,1,0,0,page_resolved
DOC000002-C0068,DOC000002,1581,965,-616,0.6104,0,0,0,1,0,0,page_resolved
DOC000002-C0069,DOC000002,1935,1040,-895,0.5375,0,0,0,1,0,0,page_resolved
DOC000002-C0070,DOC000002,1444,1157,-287,0.8012,0,0,0,1,0,0,page_resolved
DOC000002-C0071,DOC000002,1178,759,-419,0.6443,0,0,0,1,0,0,page_resolved
DOC000003-C0001,DOC000003,622,747,125,1.2010,0,0,0,0,0,1,page_resolved
DOC000003-C0002,DOC000003,809,1018,209,1.2583,0,0,0,0,0,0,page_resolved
DOC000003-C0003,DOC000003,944,1188,244,1.2585,0,0,0,0,0,0,page_resolved
DOC000003-C0004,DOC000003,580,722,142,1.2448,0,0,0,0,0,0,page_resolved
DOC000003-C0005,DOC000003,596,707,111,1.1862,0,0,0,0,0,0,page_resolved
DOC000003-C0006,DOC000003,627,786,159,1.2536,0,0,0,0,0,0,page_resolved
DOC000003-C0007,DOC000003,1168,1288,120,1.1027,1,0,0,1,0,0,page_resolved
DOC000003-C0008,DOC000003,586,683,97,1.1655,0,0,0,1,0,0,page_resolved
DOC000003-C0009,DOC000003,1031,1272,241,1.2338,1,0,0,0,0,0,page_resolved
DOC000003-C0010,DOC000003,841,1045,204,1.2426,0,0,0,0,0,0,page_resolved
DOC000003-C0011,DOC000003,940,1186,246,1.2617,0,0,0,0,0,0,page_resolved
DOC000003-C0012,DOC000003,571,713,142,1.2487,0,0,0,0,0,0,page_resolved
