priority,document_id,chunk_id,reason,details,review_status,reviewer_note
P1,DOC000002,DOC000002-C0065,huge_table_special_case,1519 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000002,DOC000002-C0066,huge_table_special_case,1628 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000002,DOC000002-C0067,huge_table_special_case,1616 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000002,DOC000002-C0068,huge_table_special_case,1581 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000002,DOC000002-C0069,huge_table_special_case,1935 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000003,DOC000003-C0131,huge_table_special_case,1610 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000003,DOC000003-C0143,huge_table_special_case,2197 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000003,DOC000003-C0154,huge_table_special_case,2197 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000003,DOC000003-C0214,huge_table_special_case,1564 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000007,DOC000007-C0001,huge_table_special_case,3017 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000007,DOC000007-C0003,huge_table_special_case,2557 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000007,DOC000007-C0004,huge_table_special_case,2502 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000007,DOC000007-C0005,huge_table_special_case,2662 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000007,DOC000007-C0006,huge_table_special_case,2500 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000007,DOC000007-C0007,huge_table_special_case,2900 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000007,DOC000007-C0008,huge_table_special_case,2981 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000007,DOC000007-C0009,huge_table_special_case,2665 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000007,DOC000007-C0010,huge_table_special_case,1873 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000015,DOC000015-C0004,huge_table_special_case,2594 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000015,DOC000015-C0005,huge_table_special_case,3519 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000015,DOC000015-C0006,huge_table_special_case,3067 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000015,DOC000015-C0007,huge_table_special_case,3119 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000015,DOC000015-C0009,huge_table_special_case,2264 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000015,DOC000015-C0010,huge_table_special_case,3551 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000015,DOC000015-C0011,huge_table_special_case,3175 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000015,DOC000015-C0012,huge_table_special_case,3304 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000019,DOC000019-C0002,huge_table_special_case,4588 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000036,DOC000036-C0138,huge_table_special_case,1560 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000036,DOC000036-C0157,huge_table_special_case,2130 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000036,DOC000036-C0161,huge_table_special_case,2720 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0006,huge_table_special_case,5688 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0007,huge_table_special_case,4343 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0008,huge_table_special_case,4753 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0009,huge_table_special_case,4509 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0010,huge_table_special_case,4667 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0011,huge_table_special_case,4713 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0012,huge_table_special_case,4643 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0013,huge_table_special_case,4812 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0014,huge_table_special_case,5340 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0015,huge_table_special_case,4176 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0016,huge_table_special_case,3847 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0017,huge_table_special_case,4515 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0018,huge_table_special_case,3698 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0020,huge_table_special_case,3255 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0021,huge_table_special_case,3157 tokens; justified_special_case (atomic Markdown table),pending,
P1,DOC000047,DOC000047-C0022,huge_table_special_case,3056 tokens; justified_special_case (atomic Markdown table),pending,
